"","name","ranking","lon","lat","type","loctype","address","north","south","east","west","establishment","route","locality","administrative_area_level_2","administrative_area_level_1","country","postal_code","street_number","premise","subpremise","cafe","colloquial_area"
"53","Chinatown",53,144.9676346,-37.8118271,"establishment","geometric_center","little bourke st, melbourne vic 3000, australia",-37.8104781197085,-37.8131760802915,144.968983580292,144.966285619708,NA,"Little Bourke Street","Melbourne","Melbourne City","Victoria","Australia","3000",NA,NA,NA,NA,NA
"54","Melbourne Town Hall",54,144.9668832,-37.8150321,"city_hall","rooftop","90-130 swanston st, melbourne vic 3000, australia",-37.8136831197085,-37.8163810802915,144.968232180291,144.965534219709,NA,"Swanston Street","Melbourne","Melbourne City","Victoria","Australia","3000","90-130",NA,NA,NA,NA
"55","Royal Arcade",55,144.9635161,-37.8146906,"establishment","rooftop","335 bourke street mall, melbourne vic 3000, australia",-37.8133416197085,-37.8160395802915,144.964865080292,144.962167119709,NA,"Bourke Street Mall","Melbourne","Melbourne City","Victoria","Australia","3000","335",NA,NA,NA,NA
"56","Etihad Stadium",56,144.9475055,-37.8165647,"establishment","rooftop","740 bourke st, docklands vic 3008, australia",-37.8152157197085,-37.8179136802915,144.948854480291,144.946156519708,NA,"Bourke St","Docklands","Melbourne City","Victoria","Australia","3008","740",NA,NA,NA,NA
"57","Parliament House of Victoria",57,144.973821,-37.8110469,"establishment","geometric_center","spring st, east melbourne vic 3002, australia",-37.8096979197085,-37.8123958802915,144.975169980291,144.972472019709,NA,"Spring St","East Melbourne","Melbourne City","Victoria","Australia","3002",NA,NA,NA,NA,NA
"58","Princess Theatre",58,144.9722949,-37.8106655,"establishment","rooftop","163 spring st, melbourne vic 3000, australia",-37.8093165197085,-37.8120144802915,144.973643880291,144.970945919708,NA,"Spring Street","Melbourne","Melbourne City","Victoria","Australia","3000","163",NA,NA,NA,NA
"59","Melbourne Convention and Exhibition Centre",59,144.953111,-37.825394,"establishment","rooftop","1 convention centre pl, south wharf vic 3006, australia",-37.8240450197085,-37.8267429802915,144.954459980291,144.951762019708,NA,"Convention Centre Place","South Wharf","Melbourne City","Victoria","Australia","3006","1",NA,NA,NA,NA
"60","South Cross Station",60,144.9527756,-37.8182805,"establishment","geometric_center","spencer st, docklands vic 3008, australia",-37.8169315197085,-37.8196294802915,144.954124580292,144.951426619709,NA,"Spencer Street","Docklands","Melbourne City","Victoria","Australia","3008",NA,NA,NA,NA,NA
"61","Flagstaff Gardens",61,144.954352,-37.8106796,"establishment","rooftop","flagstaff gardens, 9/311 william st, west melbourne vic 3003, australia",-37.8093306197085,-37.8120285802915,144.955700980292,144.953003019708,"Flagstaff Gardens","William Street","West Melbourne","Melbourne City","Victoria","Australia","3003","311",NA,"9",NA,NA
"62","Chapel Street",62,144.9930442,-37.8535867,"route","geometric_center","chapel st, victoria, australia",-37.8347662,-37.8722447,144.9970895,144.9894762,NA,"Chapel Street",NA,NA,"Victoria","Australia",NA,NA,NA,NA,NA,NA
"63","Australian Open",63,144.9785364,-37.8216202,"establishment","rooftop","melbourne & olympic parks, olympic blvd, melbourne vic • 3001, australia",-37.8202712197085,-37.8229691802915,144.979885380292,144.977187419709,NA,"Olympic Boulevard","Melbourne","Melbourne City","Victoria","Australia","• 3001",NA,"Melbourne & Olympic Parks",NA,NA,NA
"64","Myuna Farm",64,145.231898,-37.986473,"establishment","rooftop","182 kidds rd, doveton vic 3177, australia",-37.9851240197085,-37.9878219802915,145.233246980292,145.230549019708,NA,"Kidds Road","Doveton","Casey City","Victoria","Australia","3177","182",NA,NA,NA,NA
"65","China Town",65,144.9676346,-37.8118271,"establishment","geometric_center","little bourke st, melbourne vic 3000, australia",-37.8104781197085,-37.8131760802915,144.968983580292,144.966285619708,NA,"Little Bourke Street","Melbourne","Melbourne City","Victoria","Australia","3000",NA,NA,NA,NA,NA
"66","Museum of Chinese Australian History",66,144.969102,-37.810802,"establishment","rooftop","22 cohen pl, melbourne vic 3000, australia",-37.8094530197085,-37.8121509802915,144.970450980292,144.967753019709,NA,"Cohen Place","Melbourne","Melbourne City","Victoria","Australia","3000","22",NA,NA,NA,NA
