stop_name,lat,lon,stop_type
Wattlebrae St/Henty St (Reservoir),-37.71791593,144.9897014,bus
137 Henty St (Reservoir),-37.71819909,144.9915089,bus
Henty St/Gilbert Rd (Reservoir),-37.71860851,144.9933244,bus
Kia Ora Rd/Gilbert Rd (Reservoir),-37.72002827,144.9930819,bus
Holroyd Dr/Dalton Rd (Epping),-37.65940225,145.0303444,bus
Dwyer Ave/Gilbert Rd (Reservoir),-37.72378444,144.9924473,bus
Knox St/Gilbert Rd (Reservoir),-37.7254198,144.9921648,bus
Beatty St/Gilbert Rd (Reservoir),-37.72640756,144.9919566,bus
Gilbert Rd/Regent St (Preston),-37.7294489,144.9916816,bus
Edwardes St/Kelsby St (Reservoir),-37.7151412,144.998228,bus
Leamington St/Kelsby St (Reservoir),-37.71250846,144.9986845,bus
Seaver Gr/Leamington St (Reservoir),-37.71127601,144.9908678,bus
Gill St/Banbury Rd (Reservoir),-37.71260107,144.9893006,bus
Edwardes St/Banbury Rd (Reservoir),-37.71404765,144.9890459,bus
Grand Pde/Dalton Rd (Epping),-37.65686651,145.0306834,bus
Luther College/Plymouth Rd (Croydon),-37.7830725,145.27138,bus
Yarra Rd/Plymouth Rd (Croydon Hills),-37.78345349,145.2733924,bus
Plymouth Rd/Yarra Rd (Croydon),-37.78365799,145.2744323,bus
Clement Cres/Croydon Rd (Croydon),-37.78452504,145.2838144,bus
Grandview Ave/Croydon Rd (Croydon),-37.7866107,145.2834596,bus
Melba College/Croydon Rd (Croydon),-37.78999558,145.2825863,bus
Croydon Primary School/Croydon Rd (Croydon),-37.79252069,145.282085,bus
Larissa Ave/Maroondah Hwy (Ringwood),-37.81209504,145.2357499,bus
Oliver St/Maroondah Hwy (Ringwood),-37.80945219,145.2392092,bus
Cooper St/Dalton Rd (Epping),-37.65453985,145.0311303,bus
Rupert St/Maroondah Hwy (Ringwood),-37.80850283,145.2402086,bus
Leonard St/Maroondah Hwy (Ringwood),-37.80707171,145.2421395,bus
Mines Rd/Maroondah Hwy (Ringwood East),-37.80504761,145.2447999,bus
Dublin Rd/Maroondah Hwy (Ringwood East),-37.80261686,145.2473903,bus
Everard Rd/Maroondah Hwy (Ringwood East),-37.80176258,145.2487281,bus
463 Maroondah Hwy (Ringwood),-37.80032061,145.2505453,bus
Oban Rd/Maroondah Hwy (Ringwood),-37.7980486,145.2535178,bus
Maggs St/Maroondah Hwy (Croydon),-37.79398932,145.2593486,bus
Hinkley Ave/Maroondah Hwy (Croydon),-37.79196732,145.2621784,bus
Cherry Tree Gr/Maroondah Hwy (Croydon),-37.78960612,145.2670714,bus
Coulstock St/Davisson St (Epping),-37.64972294,145.029784,bus
Highland Ave/Maroondah Hwy (Croydon),-37.78824725,145.2708847,bus
Warrien Rd/Maroondah Hwy (Croydon North),-37.78236673,145.2847501,bus
Bonnie View Rd/Maroondah Hwy (Croydon North),-37.78092008,145.2881446,bus
Primrose Rd/Maroondah Hwy (Croydon North),-37.77462562,145.2928427,bus
Exeter Rd/Maroondah Hwy (Croydon North),-37.77044578,145.2954592,bus
Maroondah Adventure Golf Park/Maroondah Hwy (Chirnside Park),-37.76634628,145.3017746,bus
Old Melbourne Rd/Maroondah Hwy (Chirnside Park),-37.76527574,145.3044102,bus
Davisson St/Rufus St (Epping),-37.64897429,145.0308239,bus
East Ridge Business Park/Maroondah Hwy (Chirnside Park),-37.76406395,145.3066289,bus
High St/Miller St (Preston),-37.75211598,145.000285,bus
William St/Regent St (Preston),-37.73069693,145.0036073,bus
Regent St/Spring St (Preston),-37.72971721,145.00057,bus
Rona St/Spring St (Reservoir),-37.72843236,145.0007975,bus
Powell St/Spring St (Reservoir),-37.72668889,145.0010826,bus
Lalor Shops/David St (Lalor),-37.67173759,145.0167757,bus
Keith Ave/Greenbrook Dr (Epping),-37.64768064,145.0353917,bus
Frankston St/Spring St (Reservoir),-37.72449713,145.0015046,bus
Taylor Ave/Spring St (Reservoir),-37.72337404,145.001705,bus
Moore Cres/Spring St (Reservoir),-37.72137589,145.0029159,bus
Cleeland St/Spring St (Reservoir),-37.71796297,145.0057303,bus
Reservoir Railway Station/Edwardes St (Reservoir),-37.71632086,145.0061488,bus
Olive St/Edwardes St (Reservoir),-37.71621177,145.0044954,bus
Kelsby St/Edwardes St (Reservoir),-37.71554675,144.9982284,bus
Willoughby St/Edwardes St (Reservoir),-37.71538658,144.9967579,bus
Gilbert Rd/Edwardes St (Reservoir),-37.71631622,144.9926035,bus
Pitt St/Edwardes St (Reservoir),-37.71445321,144.9879913,bus
Mcdonalds Rd/Greenbrook Dr (Epping),-37.64653878,145.0366346,bus
Newlands Rd/Edwardes St (Reservoir),-37.71407768,144.9844734,bus
Newlands Rd/Henty St (Reservoir),-37.71743704,144.9827714,bus
Meadowbank Dr/Furlong Rd (Sunshine North),-37.76142262,144.8222506,bus
Sunshine Hospital/Furlong Rd (St Albans),-37.76065959,144.8151105,bus
Ironbark St/Furlong Rd (St Albans),-37.76043529,144.8132215,bus
Ginifer Railway Station/Mulhall Dr (St Albans),-37.75814585,144.8107691,bus
Greenbrook SC/McDonalds Rd (Epping),-37.64583938,145.0400985,bus
St Albans Secondary College/Main Rd East (St Albans),-37.7449737,144.8065612,bus
Lester Ave/Main Rd East (St Albans),-37.74542182,144.8103044,bus
Lyons St/Hyde St (Footscray),-37.80878563,144.8995283,bus
Princess St/Hyde St (Footscray),-37.81124708,144.8980842,bus
Somerville Rd/Hyde St (Yarraville),-37.81468058,144.897078,bus
Greenview Ct/McDonalds Rd (Epping),-37.64622011,145.0434886,bus
Lennox St/Hyde St (Yarraville),-37.81633282,144.8967471,bus
204 Hyde St (Yarraville),-37.81787818,144.8964874,bus
Kent St/Hyde St (Yarraville),-37.8201603,144.8961045,bus
Hyde St/Francis St (Yarraville),-37.82174027,144.8957643,bus
Ballarat St/Francis St (Yarraville),-37.82111687,144.8901359,bus
Bunninyong St/Francis St (Yarraville),-37.8208156,144.8874066,bus
271 Narre Warren North Rd (Narre Warren),-37.99940239,145.3120152,bus
Merrill Dr/McDonalds Rd (Epping),-37.64648814,145.0460658,bus
West Footscray Railway Station/Sunshine Rd (West Footscray),-37.80239998,144.8841267,bus
Ross St/Bridge St (Port Melbourne),-37.83424107,144.9401886,bus
Station St/Bridge St (Port Melbourne),-37.83543288,144.9413485,bus
Bay Street Shops/Bridge St (Port Melbourne),-37.83674885,144.9434254,bus
Cruikshank St/Liardet St (Port Melbourne),-37.84030808,144.9449515,bus
Bridport St/Richardson St (Albert Park),-37.84223719,144.9486026,bus
Albert Park Shops/Richardson St (Albert Park),-37.84410384,144.9517782,bus
Kerferd Rd/Richardson St (Albert Park),-37.84628376,144.9553545,bus
Meadow Glen Dr/McDonalds Rd (Epping),-37.64712291,145.0517502,bus
Middle Park Primary School/Richardson St (Middle Park),-37.84754314,144.9578199,bus
Wright St/Richardson St (Middle Park),-37.84814049,144.9590081,bus
Nimmo St/Richardson St (Middle Park),-37.84986453,144.9622905,bus
Armstrong St/Richardson St (Middle Park),-37.85096255,144.9637718,bus
Armstrong St/Danks St (Middle Park),-37.8531223,144.9625531,bus
Langridge St/Patterson St (Middle Park),-37.85483448,144.965677,bus
Fraser St/Park St (St Kilda West),-37.85549678,144.9669772,bus
Jacoby Reserve/Park St (St Kilda West),-37.85754683,144.9708877,bus
Sarnia Ct/Kurrajong Rd (Narre Warren),-38.00222626,145.3128616,bus
High St/Memorial Ave (Epping),-37.64487313,145.0280875,bus
Bridle Ct/Meadow Glen Dr (Epping),-37.64604139,145.0512004,bus
Watermoor Ave/Eycot St (Kilsyth South),-37.83735378,145.3036703,bus
Watermoor Ave/Rendcomb St (Kilsyth South),-37.83639126,145.3044196,bus
Bibury Ct/Rendcomb St (Kilsyth South),-37.83536005,145.306659,bus
Collier Rd/Rendcomb St (Kilsyth South),-37.83401866,145.3067579,bus
Watermoor Ave/Collier Rd (Kilsyth South),-37.83334646,145.305137,bus
Colchester Rd/Collier Rd (Kilsyth South),-37.8327976,145.3026952,bus
Colchester Rd/Allambanan Dr (Bayswater North),-37.83316796,145.3015049,bus
Toolimerin Ave/Allambanan Dr (Bayswater North),-37.83236104,145.2999213,bus
Bagora Ct/Allambanan Dr (Bayswater North),-37.83155361,145.2983036,bus
Canterbury Gardens/Allambanan Dr (Bayswater North),-37.8315058,145.2949981,bus
Derby Dr/Meadow Glen Dr (Epping),-37.64383117,145.0516095,bus
Aylesbury Ave/Blandford Cres (Bayswater North),-37.83103698,145.2924978,bus
Sherbourne Ave/Blandford Cres (Bayswater North),-37.83015837,145.2928135,bus
Stuart St/Blandford Cres (Bayswater North),-37.82816332,145.2938252,bus
Bayswater North Primary School/7 Stuart St (Bayswater North),-37.82752963,145.2948738,bus
